Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Developing a High-Performance Entrepreneur Mindset Nano Tips with Terry Rice,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, gather insights to cultivate a positive entrepreneurial mindset with business development consultant and Entrepreneur Magazine expert in residence Terry Rice.<br><br>Discover who you are and what you stand for as a brand to develop your personal philosophy and start growing your business. Unlock strategies to set a vision for success by being optimistic, achieving impactful goals, overcoming challenges, and creating a sense of community. Terry shares tips and pointers learned from daily practice on how to grow your business while also taking care of your mental and physical health. By the end of this course, you’ll be prepared to balance recovery with high performance—and feel more productive and fulfilled along the way.",Course,2025-06-26 10:43 UTC,N/A,false,N/A,
Negotiation Foundations (2012),"Coach, negotiation expert, and author Lisa Gates demonstrates the skills empowered communicators use to achieve mutual benefit at the negotiation table. The course delivers repeatable strategies for negotiating common issues such as asking for a raise, setting fees, promoting teamwork, and bringing out the best in those you manage.  Along the way, discover how to use interest-based negotiation, distributive bargaining, diagnostic questioning, and conflict resolution to handle both simple and complex negotiations.",Course,2018-07-06 10:38 UTC,N/A,false,N/A,
Content Creation: Strategy and Tools,"Any successful social media marketing strategy relies on creating high-quality, consistently engaging content, and the right tools make content creation so much easier and more successful. In this course, social media expert Joanna Yung shows you how to use cutting-edge tools like Semrush, Canva, CapCut Mobile, and various AI writing tools to plan and create content that grabs attention and drives results. Learn how to brainstorm content ideas, build a content calendar, create eye-catching visuals, and write authentic, compelling copy—all while saving time and staying consistent. Packed with actionable tips, real-life examples, and downloadable resources, this course gives you the tools and strategies to elevate your social media game and achieve your business goals.",Course,2026-04-28 20:55 UTC,N/A,false,N/A,
Microsoft Azure: Design and Deploy ARM Templates (2017),"Gain the skills you need to design easy-to-use, reliable Azure Resource Manager templates. In this course, instructor Sharon Bennett dives into Azure templates and securing Azure resources. She explains how to implement Azure Resource Manager templates, control access to your resources, and design Role-Based Access Control (RBAC). As this is an intermediate-level course, an understanding of the Azure platform and the Azure Resource Manager portal is required. This course is also an exam preparation resource for the 70-533 exam: Implementing Microsoft Azure Infrastructure Solutions.",Course,2018-07-07 11:20 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-07-22 20:09 UTC,N/A,false,N/A,
Engineering Product-Led Growth,"Learn how to strategically grow your business with a product-led approach—a shift from traditional sales-led growth models that helps a business focus itself around its key benefit to customers; their products themselves. Industry expert Esben Friis-Jensen shares the key tenets of a product-led strategy, and explains how to apply it to your particular organization and products, how to drive acquisition and conversion in a product-led environment, and the best ways to measure success at a product-led organization.",Course,2025-11-16 23:54 UTC,N/A,false,N/A,
Strategic Leadership: Deploying Intelligent Disobedience,"As a leader, it's your job to ensure your team is complying with existing rules and processes. But there will be times when diverging from the status quo is what's best for your company. The ability to do this—to confidently and respectfully disobey—is a core skill for today's leaders. In this course, uncover the principles of intelligent disobedience, and discover how to employ it to your advantage throughout your organization. Join Bob McGannon as he provides you with a rulebook for breaking the rules. Bob shares why every company needs intelligent disobedience, what to do when managers don't want to hear about issues in their business, how to overcome your own hierarchy, and much more.",Course,2021-08-25 21:53 UTC,N/A,false,N/A,
Portrait Photography: Business Portraits,"From lighting to posing to post-processing, learn how to create business portraits with a modern, professional look. This course focuses on how to light, shoot, and edit corporate portraits—both traditional headshots and environment portraits—for a single client or an entire office. Robert Vanelli goes through scouting locations and choosing the right environment for a client, building a portable studio, and using lighting and posing techniques that start with just one light. He also covers editing portraits in Lightroom, making adjustments that retain the subject's character while smoothing away minor flaws. Using these tips, you'll be able to produce professional portraits that help your clients convey a sense of trust, confidence, and personality.",Course,2018-09-18 11:32 UTC,N/A,false,N/A,
Nano Tips for Career Success and Daily Wins with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore strategies for career success and daily wins with award-winning leadership strategist and peak performance specialist Shadé Zahrai. Learn how to identify career growth areas, address burnout, track achievements, celebrate effort, balance skills with opportunities, and develop daily habits. By the end of this course, you’ll be prepared to manage emotionally charged situations, disrupt procrastination, and improve mental clarity and well-being.</p><p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-28 20:06 UTC,N/A,false,N/A,
Nano Tips for Effortless Conversations with Shadé Zahrai and Jefferson Fisher,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to cultivate and sustain effortless conversations, following advice and practical, easy-to-apply insights from award-winning leadership strategist and peak performance educator Dr. Shadé Zahrai, and trial attorney, best-selling author, and globally recognized communication expert Jefferson Fisher. Shadé and Jefferson offer tips for confidently responding to common questions, recovering from awkward moments, engaging in small talk, and more. Along the way, discover techniques to build trust, maintain balanced conversations, use nonverbal cues, navigate silences, and stay fully present. By the end of this course, you’ll have the confidence and ease to turn everyday conversations into opportunities for stronger connection and influence.</p><p>This course was created by Shadé Zahrai and Jefferson Fisher. We are pleased to host this training in our library.</p>",Course,2026-04-10 05:09 UTC,N/A,false,N/A,
Working with Difficult People,"<p>In every workplace, you're likely to encounter colleagues who are more difficult to work with than others. But before you rush to judgment, you should determine if and how you might be contributing to the situation, and what you can do to help.</p><p>In this course, join psychologist Dr. Emily Anhalt as she shows you how to navigate and communicate with people who you find challenging to deal with at work. Pause and reflect on your role in challenging work situations to uncover how empathy can help you work better with others. Emily shares strategies to respond to a wide variety of particularly challenging work situations, including with people whose behavior is negative, absent, competitive, and passive-aggressive. By the end of this course, you’ll be prepared with new skills and practical strategies to have an effective conversation with someone you find difficult to work with.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2025-03-06 10:35 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Kat Norton,"Miss Excel shares advanced Excel techniques to analyze, organize, and visualize data more effectively. Learners will develop skills in using pivot tables, dynamic formatting, data validation, and VBA scripting to automate tasks and create interactive, professional spreadsheets. By the end, learners will be able to streamline workflows and present data clearly for better insights and decision-making.",Course,2026-03-13 21:21 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-02-24 23:50 UTC,N/A,false,N/A,
Creating and Delivering Presentations Nano Tips with Jessica Chen,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, unlock the secrets to writing and delivering more effective presentations at work, using key insights about public speaking from Emmy-award winning keynote speaker and communications advisor Jessica Chen.<br><br>Learn how to prepare your next big presentation and think through your script like a storyteller. You’ll also discover practical strategies on how to keep your material interesting and engaging and how to end your presentation more powerfully. Find out how to use your body language and tone of voice for maximum impact and effect. Jessica shows you how to get the most out of digital presentation platforms so you can deliver the same amazing results every time, even when you’re working remotely.",Course,2025-07-15 09:10 UTC,N/A,false,N/A,
Ideation to Execution: The Content Creator’s Blueprint,"<p>This course explores the real, unfiltered journey of being a content creator—beyond chasing viral hits. You’ll learn how to define your niche, identify your audience, and create your minimum viable content (MVC) so you can grow with clarity and consistency. Unpack what it really takes to stand out online, build momentum, and create content that actually connects. Whether you’re just starting out as a creator or feeling stuck, this blueprint will help you focus on what matters and move forward—without burning out.</p><p>This course was created by Joanna Yung. We are pleased to host this training in our library.</p>",Course,2026-05-03 20:18 UTC,N/A,false,N/A,
Agentic AI: A Framework for Planning and Execution,"<p>You've heard all about agents, and you've wondered if they will be useful for your business. This course shows you what they are, how you can use them, and where you can use them to drive business value through increased efficiency. Instructor Laurence Moroney digs deep into use-cases for agents, as well as patterns for building agentic systems, with a view to spurring inspirational scenarios within your business. Imagine what could happen if you improved everyone's productivity by just 5%. This course teaches you the tools to do just that, and potentially much more. Navigate the hype to understand how to get business value.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2026-01-25 16:07 UTC,N/A,false,N/A,
Nano Tips to Thrive in Uncertainty and Embrace Change with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover powerful, practical strategies to grow your career by thriving in uncertainty and embracing change with insights from Shadé Zahrai, peak performance researcher and behavioral strategist to Fortune 500 companies.</p><p>Start embracing change in your professional life by tapping into your brain’s learning powerhouse. Learn how to identify communication preferences, transform anxiety into opportunity, cultivate resilience, manage stress, overcome the effects of tunnel vision, embrace acts of microbravery, and accept what you cannot change. Along the way, Shadé shows you how to successfully confront your fear of change and lead more authentically in times of uncertainty.</p>",Course,2025-11-05 11:51 UTC,N/A,false,N/A,
Giving Your Elevator Pitch,"It's important to make a good impression in just the first few minutes you spend with potential mentors, clients, or even friends. In this short course, author and business coach Dr. Todd Dewett explains how to tell others what you do and make a memorable impression in a short period of time with a personal ""elevator pitch."" Maximize your connection in a minimal amount of time, and start making valuable additions to your network from the get-go.",Course,2018-10-23 21:01 UTC,N/A,false,N/A,
Excel Essential Training (Microsoft 365) (2018),"Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, use the printing capabilities of Excel, and more.",Course,2022-07-20 09:34 UTC,N/A,false,N/A,
Data-Driven Prospecting for Business Development,"Discover how to leverage data and refine your prospecting techniques with business development expert Erika Martinez Garcia. Data-driven prospecting is an essential strategy in today's business environment, offering an effective way to target and engage the most promising leads. In this course, you'll boost your prospecting efforts by identifying key data sources, practicing efficient data management techniques, and employing analytical tools such as CRM systems and predictive analytics.",Course,2025-01-23 07:02 UTC,N/A,false,N/A,
Get More Done in Less Time,"Do you have a hard time focusing and getting through your to-do list without losing time to distractions? You're not alone. In this course, get expert time management advice from Chris Guillebeau, an author and entrepreneur who has unlocked the power of getting more accomplished without taking nearly as much time to do so. Chris walks you through the fundamentals of why focusing can ultimately feel challenging, providing ways you can shift your focus and avoid common pitfalls of distraction. He shares strategies that help you track your time, motivate yourself, and release unproductive habits. Finally, he shows you tips and tricks to help you stop procrastinating, remove unnecessary tasks from your plate, and recognize when you are most productive. After watching this course, you'll feel empowered with an increased sense of focus and a readiness to start getting things done.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-11-26 18:16 UTC,N/A,false,N/A,
Introduction to Composite Manufacturing,"Composite manufacturing is ready to meet the demands of the modern world, including groundbreaking vehicle and aeronautical designs, which require ever lighter and stronger materials. Commonly associated with carbon fiber processes, composite manufacturing combines two materials to form a polymer with properties that would be hard to produce with a single material alone. The resulting composites are durable and light. This course teaches the fundamentals of composite manufacturing, including fiber and resin-based processes, and shows ways to detect and repair defects. Instructor Steven Marjieh reviews common composite materials, manufacturing methods, inspection methods, defect types, and repair options.",Course,2024-05-09 13:32 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2018-07-04 21:52 UTC,N/A,false,N/A,
Mac OS X Lion Server Essential Training,"In this course, author Sean Colins shows how to configure a Lion Server installation, while highlighting its ease of use. The course gives an overview on servers: what they are, why they're necessary, and how to set them up quickly. It also covers file sharing, managing iOS devices with the new Profile Manager, and creating and sharing podcasts in Podcast Publisher, plus productivity services such as iCal, Address Book Server, and iChat Server, which keep shared calendars, contacts, and chat conversations securely in your possession.",Course,2018-07-09 12:46 UTC,N/A,false,N/A,
Nano Tips for Resolving Conflict with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore what it takes to deal with difficult situations and resolve conflict like a seasoned pro, following advice and practical insights from award-winning leadership strategist and peak performance specialist Shadé Zahrai.</p><p>Learn the secrets of dealing with difficult people using empathy, active listening, and proven techniques for managing interruptions. Discover the skills you need to know to diffuse strong emotions and encourage behavioral growth with Shadé ‘s three-part conflict resolution framework. Along the way, get tips for de-escalating conflict by building trust, calling out the core issue, and reflecting coolly to foster mutual understanding. By the end of this course, you’ll be equipped with new, constructive, dialogical tools for driving engagement toward a lasting resolution.</p>",Course,2026-01-18 09:51 UTC,N/A,false,N/A,
Managing Project Uncertainty,"All projects have some degree of uncertainty. As a project manager, you need to have skills and techniques to work with uncertainty— and where possible, reduce it. In this course Cyndi Snyder Dionisio identifies different types of uncertainty, tools you can use to assess uncertainty, and techniques for working with the different types of uncertainty you are likely to encounter on your projects. Whether you’re dealing with volatility, complexity, ambiguity, risk, or some combination of all these factors, join Cyndi in this course to find out the best ways to address uncertainty.",Course,2025-05-12 06:31 UTC,N/A,false,N/A,
